treatment_post,treatment_pre,PLOT_ID,SITE,Aspect,Slope,Elevation,UTM_E,UTM_N,perc_ba_mort,min npp,recvnpp,Prin1,HLI,TPH_pre,BA_m2_pre,QMD_cm_pre,TPH_post,BA_m2_post,QMC_cm_post,perc_AS_BA,perc_AS_density,perc_ES_BA,perc_ES_density,perc_AF_BA,perc_AF_density,meannpp,sd npp,perc_mort,dnpp,anpp
C,C,CC-41B-CTLP,CC,170,2,3125,341503,4219878,43.2,-457.97,65.46,2.357189619,0.987,6037,29,7.8,5636,10,4.8,36,55,44,26,0,0,4194.48,256.92,63.19,-967.758333,66.05857133
C,C,CC-41-CTLP,CC,60,11,3095,341611,4219955,39.85,-627.09,85.54,1.278120473,0.894,4957,31,8.8,4159,11,5.9,26,53,64,46,0,0,4120.43,259.36,60.95,-1075.541667,111.8683333
C,C,CC-98B-CTLP,CC,140,16,3354,337097,4210353,81.07,-859.55,190.54,0.253129551,1.019,6477,39,8.7,5758,7,3.9,17,53,83,47,0,0,4026.57,301.66,81.2,-1694.041667,203.0683333
C,C,CC-98-CTLP,CC,130,19,3370,337056,4210300,91.48,-711.1,139.74,-0.650643664,1.002,6818,40,8.7,6096,3,2.5,2,64,92,34,0,0,4118.43,310.99,90.72,-1465.208334,178.2683333
C,C,CC-109B-CTLP,CC,51,23,3462,337130,4210759,90.28,-1052.91,122.74,-0.67867052,0.759,3240,33,11.4,1359,2,4,4,7,96,92,0,0,3675.67,265.07,95.1,-1744.041667,140.4683333
C,C,CC-109-CTLP,CC,358,12,3433,337248,4210838,69.32,-791.22,92.94,-0.441776335,0.836,6017,20,6.6,5478,2,2.3,7,25,93,75,0,0,3352.52,238.94,90.31,-1707.041667,105.4683333
C,C,CP-22B-CTLP,CP,94,0,3408,305135,4208303,73.68,-718.46,163.64,-0.97724748,0.976,3437,57,14.5,1539,1,3.2,0,0,100,100,0,0,3053.48,398.05,98.36,-1574.041667,176.1683333
C,C,CP-22-CTLP,CP,136,7,3407,305277,4208204,85.83,-861.82,145.84,-0.97724748,0.999,2859,55,15.7,1638,1,2.6,0,0,100,100,0,0,3530,476.52,98.97,-1738.041666,162.5349998
C,C,CP-24B-CTLP,CP,189,31,3541,304488,4208338,86.73,-845.86,201.34,-0.97724748,1.068,2039,52,18,1139,0,2.2,0,0,100,100,0,0,2952.9,574.86,99.35,-1729.875,206.8350001
C,C,CP-24-CTLP,CP,176,29,3472,304640,4208165,91.97,-762.31,236.54,-0.97724748,1.07,1500,57,22,820,1,3.4,0,0,100,100,0,0,3381.67,457.29,99.08,-1733.041667,249.0683333
C,C,CP-28B-CTLP,CP,104,19,3369,306231,4209361,85.71,-764.27,213.64,-0.792829057,0.94,9415,56,8.7,7897,2,1.9,0,0,97,98,3,2,3497.9,475.72,97.18,-1696.541667,226.1683333
C,C,CP-28-CTLP,CP,114,25,3317,306321,4209361,77.63,-647.74,215.94,-0.928421097,0.948,8836,35,7.1,8117,3,2.2,0,0,99,93,1,7,3614.43,483.37,91.21,-1514.541667,240.0683333
C,C,DL-29B-CTLP,DL,311,2,3173,308786,4210278,55.43,-398.2,133.64,0.136995426,0.96,2958,21,9.5,2340,4,4.6,15,28,85,72,0,0,2835.14,671.07,81.34,-1333.541667,197.3683333
C,C,DL-29-CTLP,DL,341,19,3154,308799,4210459,54.76,-688.75,116.87,1.715438846,0.753,10954,29,5.8,10475,11,3.7,37,32,63,68,0,0,3245.62,467.75,59.74,-1373.041667,107.1683333
C,C,DL-56B-CTLP,DL,17,23,3284,308531,4211546,65.9,-750.14,83.54,-0.528498667,0.698,5738,40,9.4,4497,3,3,6,8,94,91,0,1,3751.67,410.6,92.74,-1401.541667,96.06833333
C,C,DL-56-CTLP,DL,36,25,3281,308459,4211554,78.61,-774.76,72.04,-0.97724748,0.7,8836,46,8.2,6897,1,1.5,0,0,100,100,0,0,3774.52,409.53,97.55,-1473.041667,84.56833333
C,C,ES-3-CTLP,East Spring Creek,216,18,3454,311187,4201898,48.19,-607.78,194.94,3.327238302,1.028,7277,19,5.8,6936,10,4.3,59,56,41,44,0,0,2557.62,246.99,48.25,-1626.041667,207.4683333
C,C,ES-16-CTLP,East Spring Creek,302,8,3365,310546,4202004,28.24,-490.26,108.54,3.352530184,0.918,15773,30,4.9,15652,22,4.2,59,58,41,42,0,0,3509.14,382.21,30.92,-1164.541667,178.1683333
C,C,ES-19-CTLP,East Spring Creek,306,22,3386,310687,4201985,65.91,-489.56,146.94,0.283985338,0.779,13193,10,3.1,12874,3,1.7,17,33,83,67,0,0,3394.48,609.1,68.88,-1183.208333,147.4016666
C,C,EF-68B-CTLP,EF,328,25,3335,310427,4202392,59.46,-631.47,124.94,-0.97724748,0.693,10356,17,4.6,9355,3,2,0,0,100,100,0,0,3393.1,448.43,84.85,-1438.541667,81.36833333
C,C,EF-68-CTLP,EF,292,16,3345,310600,4202319,32.73,-476.02,14.84,0.047987374,0.868,8997,13,4.2,8535,3,2.2,0,0,83,96,17,4,3152.05,604.89,75.7,-1182.541667,50.10166673
C,C,EV-34B-CTLP,EV,46,21,3210,338821,4209479,87.07,-807.56,82.24,-0.97724748,0.77,5417,34,8.9,4398,0,0.5,0,0,100,100,0,0,3522.95,337.08,99.71,-1510.875,106.8016666
C,C,EV-34-CTLP,EV,79,9,3201,338918,4209408,84.71,-808.11,93.84,-0.97724748,0.934,3939,20,7.9,3240,1,1.6,0,0,100,100,0,0,3706.57,315.47,97.08,-1340.041667,126.0683333
S,H,LG-5-PLT,LaGarita,52,12,3413,307164,4207402,86.77,-1217.28,-333.16,-0.977000893,0.875,4977,71,13.5,3437,0,1.3,0,0,100,98,0,0,3922.71,440.48,99.1,-1439.541667,-344.9316667
